83648;01/01/2016;0000;24.3;75;1008;
83648;01/01/2016;1200;25.2;59;1007;
83648;02/01/2016;0000;24.8;78;1006.9;
83648;02/01/2016;1200;24.2;61;1008.4;
83648;03/01/2016;0000;23.8;83;1008.5;
83648;03/01/2016;1200;24.4;84;1007.5;
83648;04/01/2016;0000;23.2;94;1009.5;
83648;04/01/2016;1200;23.2;79;1011.2;
83648;05/01/2016;0000;22.6;86;1013;
83648;05/01/2016;1200;22.4;64;1013.2;
83648;06/01/2016;0000;20.8;79;1013.5;
83648;06/01/2016;1200;23.2;63;1011.9;
83648;07/01/2016;0000;23.2;82;1011.1;
83648;07/01/2016;1200;23.4;68;1009.1;
83648;08/01/2016;0000;23.8;75;1008.5;
83648;08/01/2016;1200;23.6;54;1009.4;
83648;09/01/2016;0000;24.4;75;1010.5;
83648;09/01/2016;1200;24.2;58;1012.2;
83648;10/01/2016;0000;24.4;79;1012.3;
83648;10/01/2016;1200;23.4;56;1012.8;
83648;11/01/2016;0000;24.8;78;1012.1;
83648;11/01/2016;1200;24.2;61;1010.9;
83648;12/01/2016;0000;24.8;78;1008.3;
83648;12/01/2016;1200;24.2;66;1008;
83648;13/01/2016;0000;25.8;89;1007.2;
83648;13/01/2016;1200;25.2;64;1007.5;
83648;14/01/2016;0000;24.4;71;1006;
83648;14/01/2016;1200;24.4;58;1006.9;
83648;15/01/2016;0000;25.4;74;1007.1;
83648;15/01/2016;1200;25.4;60;1007;
83648;16/01/2016;0000;25.2;89;1006.6;
83648;16/01/2016;1200;24.8;69;1006;
83648;17/01/2016;0000;22.3;83;1007.9;
83648;17/01/2016;1200;23.2;86;1008.8;
83648;18/01/2016;0000;21.8;94;1010.4;
83648;18/01/2016;1200;22.2;98;1010;
83648;19/01/2016;0000;22.4;92;1009;
83648;19/01/2016;1200;25.2;86;1008.6;
83648;20/01/2016;0000;23.4;92;1007.9;
83648;20/01/2016;1200;22.2;90;1008.6;
83648;21/01/2016;0000;21.8;76;1007.8;
83648;21/01/2016;1200;22.2;90;1009.5;
83648;22/01/2016;0000;22.2;90;1010;
83648;22/01/2016;1200;22.2;75;1010.7;
